,reaction_id,min_flux,max_flux
ABYW00000000_1_ms_medium_gapseq_open_TF_cpd00001_ABYW00000000_1_ms_medium_gapseq_open_e0,ABYW00000000_1_ms_medium_gapseq_open_TF_cpd00001_ABYW00000000_1_ms_medium_gapseq_open_e0,1.0000000000000737,1.0000000000030171
ABYW00000000_1_ms_medium_gapseq_open_TF_cpd03247_ABYW00000000_1_ms_medium_gapseq_open_e0,ABYW00000000_1_ms_medium_gapseq_open_TF_cpd03247_ABYW00000000_1_ms_medium_gapseq_open_e0,0.0,0.0
ABYW00000000_1_ms_medium_gapseq_open_TF_cpd00033_ABYW00000000_1_ms_medium_gapseq_open_e0,ABYW00000000_1_ms_medium_gapseq_open_TF_cpd00033_ABYW00000000_1_ms_medium_gapseq_open_e0,-7.232468464270037e-13,6.2949475740823895e-34
ABYW00000000_1_ms_medium_gapseq_open_TF_cpd01663_ABYW00000000_1_ms_medium_gapseq_open_e0,ABYW00000000_1_ms_medium_gapseq_open_TF_cpd01663_ABYW00000000_1_ms_medium_gapseq_open_e0,0.0,0.0
ABYW00000000_1_ms_medium_gapseq_open_TF_cpd01318_ABYW00000000_1_ms_medium_gapseq_open_e0,ABYW00000000_1_ms_medium_gapseq_open_TF_cpd01318_ABYW00000000_1_ms_medium_gapseq_open_e0,0.0,0.0
ABYW00000000_1_ms_medium_gapseq_open_TF_cpd00526_ABYW00000000_1_ms_medium_gapseq_open_e0,ABYW00000000_1_ms_medium_gapseq_open_TF_cpd00526_ABYW00000000_1_ms_medium_gapseq_open_e0,0.0,0.0
ABYW00000000_1_ms_medium_gapseq_open_TF_cpd00009_ABYW00000000_1_ms_medium_gapseq_open_e0,ABYW00000000_1_ms_medium_gapseq_open_TF_cpd00009_ABYW00000000_1_ms_medium_gapseq_open_e0,-0.023441222013625626,-0.023441222014160146
ABYW00000000_1_ms_medium_gapseq_open_TF_cpd00023_ABYW00000000_1_ms_medium_gapseq_open_e0,ABYW00000000_1_ms_medium_gapseq_open_TF_cpd00023_ABYW00000000_1_ms_medium_gapseq_open_e0,1.8101219144553846e-13,0.0
ABYW00000000_1_ms_medium_gapseq_open_TF_cpd00028_ABYW00000000_1_ms_medium_gapseq_open_e0,ABYW00000000_1_ms_medium_gapseq_open_TF_cpd00028_ABYW00000000_1_ms_medium_gapseq_open_e0,0.0,0.0
ABYW00000000_1_ms_medium_gapseq_open_TF_cpd00030_ABYW00000000_1_ms_medium_gapseq_open_e0,ABYW00000000_1_ms_medium_gapseq_open_TF_cpd00030_ABYW00000000_1_ms_medium_gapseq_open_e0,0.0,0.0
ABYW00000000_1_ms_medium_gapseq_open_TF_cpd00034_ABYW00000000_1_ms_medium_gapseq_open_e0,ABYW00000000_1_ms_medium_gapseq_open_TF_cpd00034_ABYW00000000_1_ms_medium_gapseq_open_e0,1.5491279743878124e-13,0.0
ABYW00000000_1_ms_medium_gapseq_open_TF_cpd00039_ABYW00000000_1_ms_medium_gapseq_open_e0,ABYW00000000_1_ms_medium_gapseq_open_TF_cpd00039_ABYW00000000_1_ms_medium_gapseq_open_e0,-0.035707558993684795,-0.03570755899122286
ABYW00000000_1_ms_medium_gapseq_open_TF_cpd00041_ABYW00000000_1_ms_medium_gapseq_open_e0,ABYW00000000_1_ms_medium_gapseq_open_TF_cpd00041_ABYW00000000_1_ms_medium_gapseq_open_e0,-8.181729950197585e-13,0.0
ABYW00000000_1_ms_medium_gapseq_open_TF_cpd00051_ABYW00000000_1_ms_medium_gapseq_open_e0,ABYW00000000_1_ms_medium_gapseq_open_TF_cpd00051_ABYW00000000_1_ms_medium_gapseq_open_e0,-0.021311816714316534,-0.02131181671450953
ABYW00000000_1_ms_medium_gapseq_open_TF_cpd00053_ABYW00000000_1_ms_medium_gapseq_open_e0,ABYW00000000_1_ms_medium_gapseq_open_TF_cpd00053_ABYW00000000_1_ms_medium_gapseq_open_e0,-0.033040005031046094,-0.03304000503251349
ABYW00000000_1_ms_medium_gapseq_open_TF_cpd00064_ABYW00000000_1_ms_medium_gapseq_open_e0,ABYW00000000_1_ms_medium_gapseq_open_TF_cpd00064_ABYW00000000_1_ms_medium_gapseq_open_e0,1.3728382527580186e-13,0.0
ABYW00000000_1_ms_medium_gapseq_open_TF_cpd00098_ABYW00000000_1_ms_medium_gapseq_open_e0,ABYW00000000_1_ms_medium_gapseq_open_TF_cpd00098_ABYW00000000_1_ms_medium_gapseq_open_e0,0.0,0.0
ABYW00000000_1_ms_medium_gapseq_open_TF_cpd00119_ABYW00000000_1_ms_medium_gapseq_open_e0,ABYW00000000_1_ms_medium_gapseq_open_TF_cpd00119_ABYW00000000_1_ms_medium_gapseq_open_e0,-0.009030430811212227,-0.00903043081120066
ABYW00000000_1_ms_medium_gapseq_open_TF_cpd00129_ABYW00000000_1_ms_medium_gapseq_open_e0,ABYW00000000_1_ms_medium_gapseq_open_TF_cpd00129_ABYW00000000_1_ms_medium_gapseq_open_e0,-0.01774479654412308,-0.01774479654403232
ABYW00000000_1_ms_medium_gapseq_open_TF_cpd00149_ABYW00000000_1_ms_medium_gapseq_open_e0,ABYW00000000_1_ms_medium_gapseq_open_TF_cpd00149_ABYW00000000_1_ms_medium_gapseq_open_e0,-0.00035115852018884693,-0.00035115852018884915
ABYW00000000_1_ms_medium_gapseq_open_TF_cpd00156_ABYW00000000_1_ms_medium_gapseq_open_e0,ABYW00000000_1_ms_medium_gapseq_open_TF_cpd00156_ABYW00000000_1_ms_medium_gapseq_open_e0,0.0,0.0
