,reaction_id,min_flux,max_flux
ABYW00000000_1_ms_medium_gapseq_open_TF_cpd00001_ABYW00000000_1_ms_medium_gapseq_open_e0,ABYW00000000_1_ms_medium_gapseq_open_TF_cpd00001_ABYW00000000_1_ms_medium_gapseq_open_e0,7.500000000000129,7.500000000011897
ABYW00000000_1_ms_medium_gapseq_open_TF_cpd03247_ABYW00000000_1_ms_medium_gapseq_open_e0,ABYW00000000_1_ms_medium_gapseq_open_TF_cpd03247_ABYW00000000_1_ms_medium_gapseq_open_e0,0.0,0.0
ABYW00000000_1_ms_medium_gapseq_open_TF_cpd00033_ABYW00000000_1_ms_medium_gapseq_open_e0,ABYW00000000_1_ms_medium_gapseq_open_TF_cpd00033_ABYW00000000_1_ms_medium_gapseq_open_e0,1.519373619241553e-13,0.0
ABYW00000000_1_ms_medium_gapseq_open_TF_cpd01663_ABYW00000000_1_ms_medium_gapseq_open_e0,ABYW00000000_1_ms_medium_gapseq_open_TF_cpd01663_ABYW00000000_1_ms_medium_gapseq_open_e0,0.0,0.0
ABYW00000000_1_ms_medium_gapseq_open_TF_cpd01318_ABYW00000000_1_ms_medium_gapseq_open_e0,ABYW00000000_1_ms_medium_gapseq_open_TF_cpd01318_ABYW00000000_1_ms_medium_gapseq_open_e0,0.0,0.0
ABYW00000000_1_ms_medium_gapseq_open_TF_cpd00526_ABYW00000000_1_ms_medium_gapseq_open_e0,ABYW00000000_1_ms_medium_gapseq_open_TF_cpd00526_ABYW00000000_1_ms_medium_gapseq_open_e0,0.0,0.0
ABYW00000000_1_ms_medium_gapseq_open_TF_cpd00009_ABYW00000000_1_ms_medium_gapseq_open_e0,ABYW00000000_1_ms_medium_gapseq_open_TF_cpd00009_ABYW00000000_1_ms_medium_gapseq_open_e0,-0.15506412318196963,-0.15506412318196455
ABYW00000000_1_ms_medium_gapseq_open_TF_cpd00023_ABYW00000000_1_ms_medium_gapseq_open_e0,ABYW00000000_1_ms_medium_gapseq_open_TF_cpd00023_ABYW00000000_1_ms_medium_gapseq_open_e0,1.7070573115647103e-13,0.0
ABYW00000000_1_ms_medium_gapseq_open_TF_cpd00028_ABYW00000000_1_ms_medium_gapseq_open_e0,ABYW00000000_1_ms_medium_gapseq_open_TF_cpd00028_ABYW00000000_1_ms_medium_gapseq_open_e0,0.0,0.0
ABYW00000000_1_ms_medium_gapseq_open_TF_cpd00030_ABYW00000000_1_ms_medium_gapseq_open_e0,ABYW00000000_1_ms_medium_gapseq_open_TF_cpd00030_ABYW00000000_1_ms_medium_gapseq_open_e0,0.0,0.0
ABYW00000000_1_ms_medium_gapseq_open_TF_cpd00034_ABYW00000000_1_ms_medium_gapseq_open_e0,ABYW00000000_1_ms_medium_gapseq_open_TF_cpd00034_ABYW00000000_1_ms_medium_gapseq_open_e0,0.0,0.0
ABYW00000000_1_ms_medium_gapseq_open_TF_cpd00039_ABYW00000000_1_ms_medium_gapseq_open_e0,ABYW00000000_1_ms_medium_gapseq_open_TF_cpd00039_ABYW00000000_1_ms_medium_gapseq_open_e0,-0.23620617230907473,-0.236206172308693
ABYW00000000_1_ms_medium_gapseq_open_TF_cpd00041_ABYW00000000_1_ms_medium_gapseq_open_e0,ABYW00000000_1_ms_medium_gapseq_open_TF_cpd00041_ABYW00000000_1_ms_medium_gapseq_open_e0,-8.771617055642715e-15,0.0
ABYW00000000_1_ms_medium_gapseq_open_TF_cpd00051_ABYW00000000_1_ms_medium_gapseq_open_e0,ABYW00000000_1_ms_medium_gapseq_open_TF_cpd00051_ABYW00000000_1_ms_medium_gapseq_open_e0,-0.15926606934926113,-0.15926606934913398
ABYW00000000_1_ms_medium_gapseq_open_TF_cpd00053_ABYW00000000_1_ms_medium_gapseq_open_e0,ABYW00000000_1_ms_medium_gapseq_open_TF_cpd00053_ABYW00000000_1_ms_medium_gapseq_open_e0,-0.21856025282744052,-0.21856025282761773
ABYW00000000_1_ms_medium_gapseq_open_TF_cpd00064_ABYW00000000_1_ms_medium_gapseq_open_e0,ABYW00000000_1_ms_medium_gapseq_open_TF_cpd00064_ABYW00000000_1_ms_medium_gapseq_open_e0,2.3450871545736364e-14,0.0
ABYW00000000_1_ms_medium_gapseq_open_TF_cpd00098_ABYW00000000_1_ms_medium_gapseq_open_e0,ABYW00000000_1_ms_medium_gapseq_open_TF_cpd00098_ABYW00000000_1_ms_medium_gapseq_open_e0,0.0,-5.540469861904969e-15
ABYW00000000_1_ms_medium_gapseq_open_TF_cpd00119_ABYW00000000_1_ms_medium_gapseq_open_e0,ABYW00000000_1_ms_medium_gapseq_open_TF_cpd00119_ABYW00000000_1_ms_medium_gapseq_open_e0,-0.05973646914918495,-0.05973646914917713
ABYW00000000_1_ms_medium_gapseq_open_TF_cpd00129_ABYW00000000_1_ms_medium_gapseq_open_e0,ABYW00000000_1_ms_medium_gapseq_open_TF_cpd00129_ABYW00000000_1_ms_medium_gapseq_open_e0,-0.1173821618780733,-0.11738216187814884
ABYW00000000_1_ms_medium_gapseq_open_TF_cpd00149_ABYW00000000_1_ms_medium_gapseq_open_e0,ABYW00000000_1_ms_medium_gapseq_open_TF_cpd00149_ABYW00000000_1_ms_medium_gapseq_open_e0,-0.002322920195755182,-0.0023229201957551873
ABYW00000000_1_ms_medium_gapseq_open_TF_cpd00156_ABYW00000000_1_ms_medium_gapseq_open_e0,ABYW00000000_1_ms_medium_gapseq_open_TF_cpd00156_ABYW00000000_1_ms_medium_gapseq_open_e0,0.0,0.0
ABYW00000000_1_ms_medium_gapseq_open_TF_cpd00161_ABYW00000000_1_ms_medium_gapseq_open_e0,ABYW00000000_1_ms_medium_gapseq_open_TF_cpd00161_ABYW00000000_1_ms_medium_gapseq_open_e0,-0.13876918902568128,-0.13876918902575955
ABYW00000000_1_ms_medium_gapseq_open_TF_cpd00179_ABYW00000000_1_ms_medium_gapseq_open_e0,ABYW00000000_1_ms_medium_gapseq_open_TF_cpd00179_ABYW00000000_1_ms_medium_gapseq_open_e0,2.5330684174224383e-15,0.0
ABYW00000000_1_ms_medium_gapseq_open_TF_cpd00209_ABYW00000000_1_ms_medium_gapseq_open_e0,ABYW00000000_1_ms_medium_gapseq_open_TF_cpd00209_ABYW00000000_1_ms_medium_gapseq_open_e0,0.0,0.0
ABYW00000000_1_ms_medium_gapseq_open_TF_cpd00244_ABYW00000000_1_ms_medium_gapseq_open_e0,ABYW00000000_1_ms_medium_gapseq_open_TF_cpd00244_ABYW00000000_1_ms_medium_gapseq_open_e0,-0.0009884766794369963,-0.0009884766794369937
ABYW00000000_1_ms_medium_gapseq_open_TF_cpd00305_ABYW00000000_1_ms_medium_gapseq_open_e0,ABYW00000000_1_ms_medium_gapseq_open_TF_cpd00305_ABYW00000000_1_ms_medium_gapseq_open_e0,0.0,0.0
ABYW00000000_1_ms_medium_gapseq_open_TF_cpd00266_ABYW00000000_1_ms_medium_gapseq_open_e0,ABYW00000000_1_ms_medium_gapseq_open_TF_cpd00266_ABYW00000000_1_ms_medium_gapseq_open_e0,0.0,0.0
ABYW00000000_1_ms_medium_gapseq_open_TF_cpd00540_ABYW00000000_1_ms_medium_gapseq_open_e0,ABYW00000000_1_ms_medium_gapseq_open_TF_cpd00540_ABYW00000000_1_ms_medium_gapseq_open_e0,0.0,0.0
ABYW00000000_1_ms_medium_gapseq_open_TF_cpd08305_ABYW00000000_1_ms_medium_gapseq_open_e0,ABYW00000000_1_ms_medium_gapseq_open_TF_cpd08305_ABYW00000000_1_ms_medium_gapseq_open_e0,0.0,0.0
ABYW00000000_1_ms_medium_gapseq_open_TF_cpd10516_ABYW00000000_1_ms_medium_gapseq_open_e0,ABYW00000000_1_ms_medium_gapseq_open_TF_cpd10516_ABYW00000000_1_ms_medium_gapseq_open_e0,0.0,0.0
ABYW00000000_1_ms_medium_gapseq_open_TF_cpd00067_ABYW00000000_1_ms_medium_gapseq_open_e0,ABYW00000000_1_ms_medium_gapseq_open_TF_cpd00067_ABYW00000000_1_ms_medium_gapseq_open_e0,-1.3092815071862476,0.8772274814613734
ABYW00000000_1_ms_medium_gapseq_open_TF_cpd00092_ABYW00000000_1_ms_medium_gapseq_open_e0,ABYW00000000_1_ms_medium_gapseq_open_TF_cpd00092_ABYW00000000_1_ms_medium_gapseq_open_e0,-0.050198844638699974,2.099568521085951
ABYW00000000_1_ms_medium_gapseq_open_TF_cpd00311_ABYW00000000_1_ms_medium_gapseq_open_e0,ABYW00000000_1_ms_medium_gapseq_open_TF_cpd00311_ABYW00000000_1_ms_medium_gapseq_open_e0,-0.22276668262554117,1.9270006832985878
ABYW00000000_1_ms_medium_gapseq_open_TF_cpd00035_ABYW00000000_1_ms_medium_gapseq_open_e0,ABYW00000000_1_ms_medium_gapseq_open_TF_cpd00035_ABYW00000000_1_ms_medium_gapseq_open_e0,-0.1993006771072705,0.15322334931374965
ABYW00000000_1_ms_medium_gapseq_open_TF_cpd00971_ABYW00000000_1_ms_medium_gapseq_open_e0,ABYW00000000_1_ms_medium_gapseq_open_TF_cpd00971_ABYW00000000_1_ms_medium_gapseq_open_e0,2.0896318099631066e-15,2.0896318099631066e-15
ABYW00000000_1_ms_medium_gapseq_open_TF_cpd00084_ABYW00000000_1_ms_medium_gapseq_open_e0,ABYW00000000_1_ms_medium_gapseq_open_TF_cpd00084_ABYW00000000_1_ms_medium_gapseq_open_e0,-0.051945275018794396,-0.05194527501947305
ABYW00000000_1_ms_medium_gapseq_open_TF_cpd00013_ABYW00000000_1_ms_medium_gapseq_open_e0,ABYW00000000_1_ms_medium_gapseq_open_TF_cpd00013_ABYW00000000_1_ms_medium_gapseq_open_e0,1.6456368091902336,2.139457121158018
ABYW00000000_1_ms_medium_gapseq_open_TF_cpd00063_ABYW00000000_1_ms_medium_gapseq_open_e0,ABYW00000000_1_ms_medium_gapseq_open_TF_cpd00063_ABYW00000000_1_ms_medium_gapseq_open_e0,0.0,0.0
ABYW00000000_1_ms_medium_gapseq_open_TF_cpd01012_ABYW00000000_1_ms_medium_gapseq_open_e0,ABYW00000000_1_ms_medium_gapseq_open_TF_cpd01012_ABYW00000000_1_ms_medium_gapseq_open_e0,0.0,0.0
ABYW00000000_1_ms_medium_gapseq_open_TF_cpd00058_ABYW00000000_1_ms_medium_gapseq_open_e0,ABYW00000000_1_ms_medium_gapseq_open_TF_cpd00058_ABYW00000000_1_ms_medium_gapseq_open_e0,0.0,0.0
ABYW00000000_1_ms_medium_gapseq_open_TF_cpd10515_ABYW00000000_1_ms_medium_gapseq_open_e0,ABYW00000000_1_ms_medium_gapseq_open_TF_cpd10515_ABYW00000000_1_ms_medium_gapseq_open_e0,0.0,0.0
ABYW00000000_1_ms_medium_gapseq_open_TF_cpd00047_ABYW00000000_1_ms_medium_gapseq_open_e0,ABYW00000000_1_ms_medium_gapseq_open_TF_cpd00047_ABYW00000000_1_ms_medium_gapseq_open_e0,-4.750708439453541,-3.9043641011740053
ABYW00000000_1_ms_medium_gapseq_open_TF_cpd00106_ABYW00000000_1_ms_medium_gapseq_open_e0,ABYW00000000_1_ms_medium_gapseq_open_TF_cpd00106_ABYW00000000_1_ms_medium_gapseq_open_e0,1.098456685804424,1.592276997879343
ABYW00000000_1_ms_medium_gapseq_open_TF_cpd01262_ABYW00000000_1_ms_medium_gapseq_open_e0,ABYW00000000_1_ms_medium_gapseq_open_TF_cpd01262_ABYW00000000_1_ms_medium_gapseq_open_e0,0.0,0.0
ABYW00000000_1_ms_medium_gapseq_open_TF_cpd00060_ABYW00000000_1_ms_medium_gapseq_open_e0,ABYW00000000_1_ms_medium_gapseq_open_TF_cpd00060_ABYW00000000_1_ms_medium_gapseq_open_e0,-4.377116596212483,-3.5307722579470497
ABYW00000000_1_ms_medium_gapseq_open_TF_cpd00075_ABYW00000000_1_ms_medium_gapseq_open_e0,ABYW00000000_1_ms_medium_gapseq_open_TF_cpd00075_ABYW00000000_1_ms_medium_gapseq_open_e0,0.0,0.0
ABYW00000000_1_ms_medium_gapseq_open_TF_cpd01132_ABYW00000000_1_ms_medium_gapseq_open_e0,ABYW00000000_1_ms_medium_gapseq_open_TF_cpd01132_ABYW00000000_1_ms_medium_gapseq_open_e0,0.0,0.0
ABYW00000000_1_ms_medium_gapseq_open_TF_cpd00065_ABYW00000000_1_ms_medium_gapseq_open_e0,ABYW00000000_1_ms_medium_gapseq_open_TF_cpd00065_ABYW00000000_1_ms_medium_gapseq_open_e0,0.0,3.251209728839059e-14
ABYW00000000_1_ms_medium_gapseq_open_TF_cpd00132_ABYW00000000_1_ms_medium_gapseq_open_e0,ABYW00000000_1_ms_medium_gapseq_open_TF_cpd00132_ABYW00000000_1_ms_medium_gapseq_open_e0,-0.1081230091580855,-0.10812300916213398
ABYW00000000_1_ms_medium_gapseq_open_TF_cpd01015_ABYW00000000_1_ms_medium_gapseq_open_e0,ABYW00000000_1_ms_medium_gapseq_open_TF_cpd01015_ABYW00000000_1_ms_medium_gapseq_open_e0,0.0,0.0
ABYW00000000_1_ms_medium_gapseq_open_TF_cpd01107_ABYW00000000_1_ms_medium_gapseq_open_e0,ABYW00000000_1_ms_medium_gapseq_open_TF_cpd01107_ABYW00000000_1_ms_medium_gapseq_open_e0,0.0,0.0
ABYW00000000_1_ms_medium_gapseq_open_TF_cpd01741_ABYW00000000_1_ms_medium_gapseq_open_e0,ABYW00000000_1_ms_medium_gapseq_open_TF_cpd01741_ABYW00000000_1_ms_medium_gapseq_open_e0,8.729039573190111e-15,0.0
ABYW00000000_1_ms_medium_gapseq_open_TF_cpd03847_ABYW00000000_1_ms_medium_gapseq_open_e0,ABYW00000000_1_ms_medium_gapseq_open_TF_cpd03847_ABYW00000000_1_ms_medium_gapseq_open_e0,0.0,0.0
ABYW00000000_1_ms_medium_gapseq_open_TF_cpd15298_ABYW00000000_1_ms_medium_gapseq_open_e0,ABYW00000000_1_ms_medium_gapseq_open_TF_cpd15298_ABYW00000000_1_ms_medium_gapseq_open_e0,0.0,0.0
ABYW00000000_1_ms_medium_gapseq_open_TF_cpd00214_ABYW00000000_1_ms_medium_gapseq_open_e0,ABYW00000000_1_ms_medium_gapseq_open_TF_cpd00214_ABYW00000000_1_ms_medium_gapseq_open_e0,0.0,0.0
ABYW00000000_1_ms_medium_gapseq_open_TF_cpd15237_ABYW00000000_1_ms_medium_gapseq_open_e0,ABYW00000000_1_ms_medium_gapseq_open_TF_cpd15237_ABYW00000000_1_ms_medium_gapseq_open_e0,0.0,0.0
ABYW00000000_1_ms_medium_gapseq_open_TF_cpd01080_ABYW00000000_1_ms_medium_gapseq_open_e0,ABYW00000000_1_ms_medium_gapseq_open_TF_cpd01080_ABYW00000000_1_ms_medium_gapseq_open_e0,0.0,0.0
ABYW00000000_1_ms_medium_gapseq_open_TF_cpd15269_ABYW00000000_1_ms_medium_gapseq_open_e0,ABYW00000000_1_ms_medium_gapseq_open_TF_cpd15269_ABYW00000000_1_ms_medium_gapseq_open_e0,0.0,0.0
ABYW00000000_1_ms_medium_gapseq_open_TF_cpd01113_ABYW00000000_1_ms_medium_gapseq_open_e0,ABYW00000000_1_ms_medium_gapseq_open_TF_cpd01113_ABYW00000000_1_ms_medium_gapseq_open_e0,0.0,0.0
ABYW00000000_1_ms_medium_gapseq_open_TF_cpd03846_ABYW00000000_1_ms_medium_gapseq_open_e0,ABYW00000000_1_ms_medium_gapseq_open_TF_cpd03846_ABYW00000000_1_ms_medium_gapseq_open_e0,0.0,0.0
