,reaction_id,min_flux,max_flux
ABYW00000000_1_ms_medium_gapseq_open_TF_cpd00001_ABYW00000000_1_ms_medium_gapseq_open_e0,ABYW00000000_1_ms_medium_gapseq_open_TF_cpd00001_ABYW00000000_1_ms_medium_gapseq_open_e0,2.5000000000001172,2.499999999993474
ABYW00000000_1_ms_medium_gapseq_open_TF_cpd03247_ABYW00000000_1_ms_medium_gapseq_open_e0,ABYW00000000_1_ms_medium_gapseq_open_TF_cpd03247_ABYW00000000_1_ms_medium_gapseq_open_e0,0.0,0.0
ABYW00000000_1_ms_medium_gapseq_open_TF_cpd00033_ABYW00000000_1_ms_medium_gapseq_open_e0,ABYW00000000_1_ms_medium_gapseq_open_TF_cpd00033_ABYW00000000_1_ms_medium_gapseq_open_e0,1.7985664982473582e-12,0.0
ABYW00000000_1_ms_medium_gapseq_open_TF_cpd01663_ABYW00000000_1_ms_medium_gapseq_open_e0,ABYW00000000_1_ms_medium_gapseq_open_TF_cpd01663_ABYW00000000_1_ms_medium_gapseq_open_e0,0.0,0.0
ABYW00000000_1_ms_medium_gapseq_open_TF_cpd01318_ABYW00000000_1_ms_medium_gapseq_open_e0,ABYW00000000_1_ms_medium_gapseq_open_TF_cpd01318_ABYW00000000_1_ms_medium_gapseq_open_e0,0.0,0.0
ABYW00000000_1_ms_medium_gapseq_open_TF_cpd00526_ABYW00000000_1_ms_medium_gapseq_open_e0,ABYW00000000_1_ms_medium_gapseq_open_TF_cpd00526_ABYW00000000_1_ms_medium_gapseq_open_e0,0.0,0.0
ABYW00000000_1_ms_medium_gapseq_open_TF_cpd00009_ABYW00000000_1_ms_medium_gapseq_open_e0,ABYW00000000_1_ms_medium_gapseq_open_TF_cpd00009_ABYW00000000_1_ms_medium_gapseq_open_e0,-0.060740709562679115,-0.060740709563437564
ABYW00000000_1_ms_medium_gapseq_open_TF_cpd00023_ABYW00000000_1_ms_medium_gapseq_open_e0,ABYW00000000_1_ms_medium_gapseq_open_TF_cpd00023_ABYW00000000_1_ms_medium_gapseq_open_e0,3.3939395747504297e-13,0.0
ABYW00000000_1_ms_medium_gapseq_open_TF_cpd00028_ABYW00000000_1_ms_medium_gapseq_open_e0,ABYW00000000_1_ms_medium_gapseq_open_TF_cpd00028_ABYW00000000_1_ms_medium_gapseq_open_e0,0.0,0.0
ABYW00000000_1_ms_medium_gapseq_open_TF_cpd00030_ABYW00000000_1_ms_medium_gapseq_open_e0,ABYW00000000_1_ms_medium_gapseq_open_TF_cpd00030_ABYW00000000_1_ms_medium_gapseq_open_e0,0.0,0.0
ABYW00000000_1_ms_medium_gapseq_open_TF_cpd00034_ABYW00000000_1_ms_medium_gapseq_open_e0,ABYW00000000_1_ms_medium_gapseq_open_TF_cpd00034_ABYW00000000_1_ms_medium_gapseq_open_e0,0.0,0.0
ABYW00000000_1_ms_medium_gapseq_open_TF_cpd00039_ABYW00000000_1_ms_medium_gapseq_open_e0,ABYW00000000_1_ms_medium_gapseq_open_TF_cpd00039_ABYW00000000_1_ms_medium_gapseq_open_e0,-0.09252514517466742,-0.09252514517217428
ABYW00000000_1_ms_medium_gapseq_open_TF_cpd00041_ABYW00000000_1_ms_medium_gapseq_open_e0,ABYW00000000_1_ms_medium_gapseq_open_TF_cpd00041_ABYW00000000_1_ms_medium_gapseq_open_e0,5.185503885573253e-13,0.0
ABYW00000000_1_ms_medium_gapseq_open_TF_cpd00051_ABYW00000000_1_ms_medium_gapseq_open_e0,ABYW00000000_1_ms_medium_gapseq_open_TF_cpd00051_ABYW00000000_1_ms_medium_gapseq_open_e0,-0.055223011344616255,-0.05522301134594111
ABYW00000000_1_ms_medium_gapseq_open_TF_cpd00053_ABYW00000000_1_ms_medium_gapseq_open_e0,ABYW00000000_1_ms_medium_gapseq_open_TF_cpd00053_ABYW00000000_1_ms_medium_gapseq_open_e0,-0.08561300039096299,-0.08561300039232171
ABYW00000000_1_ms_medium_gapseq_open_TF_cpd00064_ABYW00000000_1_ms_medium_gapseq_open_e0,ABYW00000000_1_ms_medium_gapseq_open_TF_cpd00064_ABYW00000000_1_ms_medium_gapseq_open_e0,3.704628464059157e-14,0.0
ABYW00000000_1_ms_medium_gapseq_open_TF_cpd00098_ABYW00000000_1_ms_medium_gapseq_open_e0,ABYW00000000_1_ms_medium_gapseq_open_TF_cpd00098_ABYW00000000_1_ms_medium_gapseq_open_e0,0.0,-7.286851429228128e-14
ABYW00000000_1_ms_medium_gapseq_open_TF_cpd00119_ABYW00000000_1_ms_medium_gapseq_open_e0,ABYW00000000_1_ms_medium_gapseq_open_TF_cpd00119_ABYW00000000_1_ms_medium_gapseq_open_e0,-0.023399581078756122,-0.023399581078787455
ABYW00000000_1_ms_medium_gapseq_open_TF_cpd00129_ABYW00000000_1_ms_medium_gapseq_open_e0,ABYW00000000_1_ms_medium_gapseq_open_TF_cpd00129_ABYW00000000_1_ms_medium_gapseq_open_e0,-0.045980176819571755,-0.045980176819756406
ABYW00000000_1_ms_medium_gapseq_open_TF_cpd00149_ABYW00000000_1_ms_medium_gapseq_open_e0,ABYW00000000_1_ms_medium_gapseq_open_TF_cpd00149_ABYW00000000_1_ms_medium_gapseq_open_e0,-0.0009099191872942405,-0.0009099191872942502
ABYW00000000_1_ms_medium_gapseq_open_TF_cpd00156_ABYW00000000_1_ms_medium_gapseq_open_e0,ABYW00000000_1_ms_medium_gapseq_open_TF_cpd00156_ABYW00000000_1_ms_medium_gapseq_open_e0,0.0,0.0
ABYW00000000_1_ms_medium_gapseq_open_TF_cpd00161_ABYW00000000_1_ms_medium_gapseq_open_e0,ABYW00000000_1_ms_medium_gapseq_open_TF_cpd00161_ABYW00000000_1_ms_medium_gapseq_open_e0,-0.05435776396028561,-0.05435776396043452
ABYW00000000_1_ms_medium_gapseq_open_TF_cpd00179_ABYW00000000_1_ms_medium_gapseq_open_e0,ABYW00000000_1_ms_medium_gapseq_open_TF_cpd00179_ABYW00000000_1_ms_medium_gapseq_open_e0,3.752855548692527e-14,0.0
ABYW00000000_1_ms_medium_gapseq_open_TF_cpd00209_ABYW00000000_1_ms_medium_gapseq_open_e0,ABYW00000000_1_ms_medium_gapseq_open_TF_cpd00209_ABYW00000000_1_ms_medium_gapseq_open_e0,0.0,0.0
ABYW00000000_1_ms_medium_gapseq_open_TF_cpd00244_ABYW00000000_1_ms_medium_gapseq_open_e0,ABYW00000000_1_ms_medium_gapseq_open_TF_cpd00244_ABYW00000000_1_ms_medium_gapseq_open_e0,-0.00038719965432140296,-0.000387199654321407
ABYW00000000_1_ms_medium_gapseq_open_TF_cpd00305_ABYW00000000_1_ms_medium_gapseq_open_e0,ABYW00000000_1_ms_medium_gapseq_open_TF_cpd00305_ABYW00000000_1_ms_medium_gapseq_open_e0,0.0,0.0
ABYW00000000_1_ms_medium_gapseq_open_TF_cpd00266_ABYW00000000_1_ms_medium_gapseq_open_e0,ABYW00000000_1_ms_medium_gapseq_open_TF_cpd00266_ABYW00000000_1_ms_medium_gapseq_open_e0,0.0,0.0
ABYW00000000_1_ms_medium_gapseq_open_TF_cpd00540_ABYW00000000_1_ms_medium_gapseq_open_e0,ABYW00000000_1_ms_medium_gapseq_open_TF_cpd00540_ABYW00000000_1_ms_medium_gapseq_open_e0,0.0,0.0
ABYW00000000_1_ms_medium_gapseq_open_TF_cpd08305_ABYW00000000_1_ms_medium_gapseq_open_e0,ABYW00000000_1_ms_medium_gapseq_open_TF_cpd08305_ABYW00000000_1_ms_medium_gapseq_open_e0,0.0,0.0
ABYW00000000_1_ms_medium_gapseq_open_TF_cpd10516_ABYW00000000_1_ms_medium_gapseq_open_e0,ABYW00000000_1_ms_medium_gapseq_open_TF_cpd10516_ABYW00000000_1_ms_medium_gapseq_open_e0,0.0,0.0
ABYW00000000_1_ms_medium_gapseq_open_TF_cpd00067_ABYW00000000_1_ms_medium_gapseq_open_e0,ABYW00000000_1_ms_medium_gapseq_open_TF_cpd00067_ABYW00000000_1_ms_medium_gapseq_open_e0,-0.6099193622352683,-0.01739483394012352
