,metabolite_id,metabolite_name,cross_feeding,produced_by,consumed_by
82,cpd01861_medium,"(R)-1,2-Propanediol",False,[],[]
83,cpd00453_medium,"1,2-Propanediol",False,[],[]
84,cpd00071_medium,Acetaldehyde,True,['ABYW00000000_1_ms_medium_gapseq_open'],['NC_004663_1_ms_b_tim_medium_gapseq_open']
85,cpd00150_medium,HCN,False,[],[]
86,cpd08021_medium,DMSO,False,[],[]
87,cpd00450_medium,Methyl sulfide,False,[],[]
88,cpd00363_medium,Ethanol,True,['NC_004663_1_ms_b_tim_medium_gapseq_open'],['ABYW00000000_1_ms_medium_gapseq_open']
89,cpd00055_medium,Formaldehyde,False,[],[]
90,cpd00448_medium,D-Glyceraldehyde,True,['ABYW00000000_1_ms_medium_gapseq_open'],['NC_004663_1_ms_b_tim_medium_gapseq_open']
91,cpd00025_medium,H2O2,False,[],[]
92,cpd00239_medium,H2S,True,['NC_004663_1_ms_b_tim_medium_gapseq_open'],['ABYW00000000_1_ms_medium_gapseq_open']
93,cpd11640_medium,H2,True,['NC_004663_1_ms_b_tim_medium_gapseq_open'],['ABYW00000000_1_ms_medium_gapseq_open']
94,cpd00359_medium,indol,True,['NC_004663_1_ms_b_tim_medium_gapseq_open'],['ABYW00000000_1_ms_medium_gapseq_open']
95,cpd11574_medium,Molybdate,False,[],[]
96,cpd00659_medium,Nitrous oxide,False,[],[]
97,cpd00418_medium,NO,False,[],[]
98,cpd00371_medium,Propanal,False,[],[]
99,cpd00811_medium,(CH3)3NO,False,[],[]
100,cpd00324_medium,MTTL,False,"['ABYW00000000_1_ms_medium_gapseq_open', 'NC_004663_1_ms_b_tim_medium_gapseq_open']",[]
101,cpd01024_medium,Methane,False,['ABYW00000000_1_ms_medium_gapseq_open'],[]
102,cpd00204_medium,CO,False,[],[]
103,cpd00116_medium,Methanol,False,[],[]
104,cpd00528_medium,N2,False,[],[]
105,cpd11632_medium,hn,False,[],[]
106,cpd03662_medium,n-Butanol,False,[],[]
107,cpd00178_medium,Acetone,False,[],[]
108,cpd01618_medium,"1,3-Propanediol",False,[],[]
109,cpd00138_medium,D-Mannose,True,['NC_004663_1_ms_b_tim_medium_gapseq_open'],['ABYW00000000_1_ms_medium_gapseq_open']
110,cpd00322_medium,L-Isoleucine,False,[],[]
111,cpd00066_medium,L-Phenylalanine,False,[],[]
112,cpd00069_medium,L-Tyrosine,True,['NC_004663_1_ms_b_tim_medium_gapseq_open'],['ABYW00000000_1_ms_medium_gapseq_open']
113,cpd00220_medium,Riboflavin,False,[],['NC_004663_1_ms_b_tim_medium_gapseq_open']
114,cpd00218_medium,Niacin,False,['ABYW00000000_1_ms_medium_gapseq_open'],[]
115,cpd00644_medium,Pantothenic acid,False,[],[]
116,cpd00048_medium,Sulfate,False,[],"['ABYW00000000_1_ms_medium_gapseq_open', 'NC_004663_1_ms_b_tim_medium_gapseq_open']"
117,cpd00027_medium,D-Glucose,True,['NC_004663_1_ms_b_tim_medium_gapseq_open'],['ABYW00000000_1_ms_medium_gapseq_open']
118,cpd00082_medium,D-Fructose,True,['ABYW00000000_1_ms_medium_gapseq_open'],['NC_004663_1_ms_b_tim_medium_gapseq_open']
119,cpd00121_medium,L-Inositol,True,['NC_004663_1_ms_b_tim_medium_gapseq_open'],['ABYW00000000_1_ms_medium_gapseq_open']
120,cpd00159_medium,L-Lactate,True,['NC_004663_1_ms_b_tim_medium_gapseq_open'],['ABYW00000000_1_ms_medium_gapseq_open']
121,cpd00246_medium,Inosine,False,[],[]
122,cpd00249_medium,Uridine,False,[],[]
123,cpd00221_medium,D-Lactate,True,['NC_004663_1_ms_b_tim_medium_gapseq_open'],['ABYW00000000_1_ms_medium_gapseq_open']
124,cpd00100_medium,Glycerol,True,['NC_004663_1_ms_b_tim_medium_gapseq_open'],['ABYW00000000_1_ms_medium_gapseq_open']
125,cpd00489_medium,4-Hydroxyphenylacetate,False,[],[]
126,cpd00105_medium,D-Ribose,False,[],[]
127,cpd00003_medium,NAD,True,['NC_004663_1_ms_b_tim_medium_gapseq_open'],['ABYW00000000_1_ms_medium_gapseq_open']
128,cpd00118_medium,Putrescine,False,[],[]
129,cpd00182_medium,Adenosine,True,['ABYW00000000_1_ms_medium_gapseq_open'],['NC_004663_1_ms_b_tim_medium_gapseq_open']
130,cpd00210_medium,Taurine,False,[],[]
131,cpd00264_medium,Spermidine,True,['ABYW00000000_1_ms_medium_gapseq_open'],['NC_004663_1_ms_b_tim_medium_gapseq_open']
132,cpd00268_medium,H2S2O3,False,[],[]
133,cpd00277_medium,Deoxyguanosine,True,"['ABYW00000000_1_ms_medium_gapseq_open', 'NC_004663_1_ms_b_tim_medium_gapseq_open']","['ABYW00000000_1_ms_medium_gapseq_open', 'NC_004663_1_ms_b_tim_medium_gapseq_open']"
134,cpd00281_medium,GABA,False,[],[]
135,cpd00309_medium,XAN,True,['ABYW00000000_1_ms_medium_gapseq_open'],['NC_004663_1_ms_b_tim_medium_gapseq_open']
136,cpd00367_medium,Cytidine,False,[],[]
137,cpd00412_medium,Deoxyuridine,True,['NC_004663_1_ms_b_tim_medium_gapseq_open'],['ABYW00000000_1_ms_medium_gapseq_open']
138,cpd01217_medium,Xanthosine,True,['NC_004663_1_ms_b_tim_medium_gapseq_open'],['ABYW00000000_1_ms_medium_gapseq_open']
139,cpd00224_medium,L-Arabinose,False,[],[]
140,cpd00184_medium,Thymidine,False,[],[]
141,cpd00130_medium,L-Malate,False,[],[]
142,cpd00137_medium,Citrate,False,[],[]
143,cpd00139_medium,Glycolate,False,[],[]
144,cpd04098_medium,Arsenite,False,[],[]
145,cpd00108_medium,Galactose,False,[],[]
146,cpd00276_medium,GLUM,False,[],[]
147,cpd00222_medium,GLCN,False,[],[]
148,cpd00208_medium,LACT,False,[],[]
149,cpd00012_medium,PPi,False,['NC_004663_1_ms_b_tim_medium_gapseq_open'],[]
150,cpd00396_medium,L-Rhamnose,False,[],[]
151,cpd00154_medium,Xylose,False,[],[]
152,cpd00280_medium,D-Galacturonate,False,[],[]
153,cpd00099_medium,Cl-,False,[],['NC_004663_1_ms_b_tim_medium_gapseq_open']
154,cpd01399_medium,Maltotetraose,False,[],[]
155,cpd00794_medium,TRHL,False,[],[]
156,cpd00076_medium,Sucrose,False,[],[]
157,cpd00185_medium,D-Arabinose,False,[],[]
158,cpd15494_medium,Maltoheptaose,False,[],[]
159,cpd11976_medium,Maltodextrin,False,[],[]
160,cpd00832_medium,N-Acetyl-D-chondrosamine,False,[],[]
161,cpd00306_medium,Xylitol,False,[],[]
162,cpd00314_medium,D-Mannitol,False,[],[]
163,cpd00158_medium,CELB,False,[],[]
164,cpd01048_medium,Arsenate,False,[],[]
165,cpd01133_medium,Stachyose,False,[],[]
166,cpd02733_medium,Deoxycholate,False,[],[]
167,cpd01354_medium,beta-Lactose,False,[],[]
168,cpd03808_medium,Lacto-N-biose,False,[],[]
169,cpd11842_medium,core3,False,[],[]
170,cpd00122_medium,acgam,False,[],[]
171,cpd21520_medium,Tn_antigen,False,[],[]
172,cpd02992_medium,core4,False,[],[]
