,reaction_id,min_flux,max_flux
ABYW00000000_1_ms_medium_gapseq_open_TF_cpd00244_ABYW00000000_1_ms_medium_gapseq_open_e0,ABYW00000000_1_ms_medium_gapseq_open_TF_cpd00244_ABYW00000000_1_ms_medium_gapseq_open_e0,-0.000764637650262492,-0.0007646376502624735
ABYW00000000_1_ms_medium_gapseq_open_TF_cpd00305_ABYW00000000_1_ms_medium_gapseq_open_e0,ABYW00000000_1_ms_medium_gapseq_open_TF_cpd00305_ABYW00000000_1_ms_medium_gapseq_open_e0,0.0,7.400052242140389e-17
ABYW00000000_1_ms_medium_gapseq_open_TF_cpd00266_ABYW00000000_1_ms_medium_gapseq_open_e0,ABYW00000000_1_ms_medium_gapseq_open_TF_cpd00266_ABYW00000000_1_ms_medium_gapseq_open_e0,0.0,0.0
ABYW00000000_1_ms_medium_gapseq_open_TF_cpd00540_ABYW00000000_1_ms_medium_gapseq_open_e0,ABYW00000000_1_ms_medium_gapseq_open_TF_cpd00540_ABYW00000000_1_ms_medium_gapseq_open_e0,0.0,0.0
ABYW00000000_1_ms_medium_gapseq_open_TF_cpd08305_ABYW00000000_1_ms_medium_gapseq_open_e0,ABYW00000000_1_ms_medium_gapseq_open_TF_cpd08305_ABYW00000000_1_ms_medium_gapseq_open_e0,0.0,0.0
ABYW00000000_1_ms_medium_gapseq_open_TF_cpd10516_ABYW00000000_1_ms_medium_gapseq_open_e0,ABYW00000000_1_ms_medium_gapseq_open_TF_cpd10516_ABYW00000000_1_ms_medium_gapseq_open_e0,0.0,0.0
ABYW00000000_1_ms_medium_gapseq_open_TF_cpd00067_ABYW00000000_1_ms_medium_gapseq_open_e0,ABYW00000000_1_ms_medium_gapseq_open_TF_cpd00067_ABYW00000000_1_ms_medium_gapseq_open_e0,-1.5325863940681597,-1.488073421130376
ABYW00000000_1_ms_medium_gapseq_open_TF_cpd00092_ABYW00000000_1_ms_medium_gapseq_open_e0,ABYW00000000_1_ms_medium_gapseq_open_TF_cpd00092_ABYW00000000_1_ms_medium_gapseq_open_e0,-0.26001587421756683,-0.08769436549502177
ABYW00000000_1_ms_medium_gapseq_open_TF_cpd00311_ABYW00000000_1_ms_medium_gapseq_open_e0,ABYW00000000_1_ms_medium_gapseq_open_TF_cpd00311_ABYW00000000_1_ms_medium_gapseq_open_e0,-0.17232150874588195,0.0
ABYW00000000_1_ms_medium_gapseq_open_TF_cpd00035_ABYW00000000_1_ms_medium_gapseq_open_e0,ABYW00000000_1_ms_medium_gapseq_open_TF_cpd00035_ABYW00000000_1_ms_medium_gapseq_open_e0,0.11852615648589895,0.11852615650830994
ABYW00000000_1_ms_medium_gapseq_open_TF_cpd00971_ABYW00000000_1_ms_medium_gapseq_open_e0,ABYW00000000_1_ms_medium_gapseq_open_TF_cpd00971_ABYW00000000_1_ms_medium_gapseq_open_e0,-1.534675902555609e-15,-1.534675902555609e-15
ABYW00000000_1_ms_medium_gapseq_open_TF_cpd00084_ABYW00000000_1_ms_medium_gapseq_open_e0,ABYW00000000_1_ms_medium_gapseq_open_TF_cpd00084_ABYW00000000_1_ms_medium_gapseq_open_e0,-0.04018234707905319,-0.04018234710192029
ABYW00000000_1_ms_medium_gapseq_open_TF_cpd00013_ABYW00000000_1_ms_medium_gapseq_open_e0,ABYW00000000_1_ms_medium_gapseq_open_TF_cpd00013_ABYW00000000_1_ms_medium_gapseq_open_e0,1.0626986126324667,1.062698612668102
ABYW00000000_1_ms_medium_gapseq_open_TF_cpd00063_ABYW00000000_1_ms_medium_gapseq_open_e0,ABYW00000000_1_ms_medium_gapseq_open_TF_cpd00063_ABYW00000000_1_ms_medium_gapseq_open_e0,0.0,0.0
ABYW00000000_1_ms_medium_gapseq_open_TF_cpd01012_ABYW00000000_1_ms_medium_gapseq_open_e0,ABYW00000000_1_ms_medium_gapseq_open_TF_cpd01012_ABYW00000000_1_ms_medium_gapseq_open_e0,0.0,0.0
ABYW00000000_1_ms_medium_gapseq_open_TF_cpd00058_ABYW00000000_1_ms_medium_gapseq_open_e0,ABYW00000000_1_ms_medium_gapseq_open_TF_cpd00058_ABYW00000000_1_ms_medium_gapseq_open_e0,0.0,0.0
ABYW00000000_1_ms_medium_gapseq_open_TF_cpd10515_ABYW00000000_1_ms_medium_gapseq_open_e0,ABYW00000000_1_ms_medium_gapseq_open_TF_cpd10515_ABYW00000000_1_ms_medium_gapseq_open_e0,0.0,0.0
ABYW00000000_1_ms_medium_gapseq_open_TF_cpd00047_ABYW00000000_1_ms_medium_gapseq_open_e0,ABYW00000000_1_ms_medium_gapseq_open_TF_cpd00047_ABYW00000000_1_ms_medium_gapseq_open_e0,-0.003501702267338173,0.041011270611719
ABYW00000000_1_ms_medium_gapseq_open_TF_cpd00106_ABYW00000000_1_ms_medium_gapseq_open_e0,ABYW00000000_1_ms_medium_gapseq_open_TF_cpd00106_ABYW00000000_1_ms_medium_gapseq_open_e0,-0.7817650330790891,-0.7817650330382528
ABYW00000000_1_ms_medium_gapseq_open_TF_cpd01262_ABYW00000000_1_ms_medium_gapseq_open_e0,ABYW00000000_1_ms_medium_gapseq_open_TF_cpd01262_ABYW00000000_1_ms_medium_gapseq_open_e0,-1.119007073045552e-13,0.0
ABYW00000000_1_ms_medium_gapseq_open_TF_cpd00060_ABYW00000000_1_ms_medium_gapseq_open_e0,ABYW00000000_1_ms_medium_gapseq_open_TF_cpd00060_ABYW00000000_1_ms_medium_gapseq_open_e0,-2.947848566102367,-2.9478485661986653
ABYW00000000_1_ms_medium_gapseq_open_TF_cpd00075_ABYW00000000_1_ms_medium_gapseq_open_e0,ABYW00000000_1_ms_medium_gapseq_open_TF_cpd00075_ABYW00000000_1_ms_medium_gapseq_open_e0,0.0,0.0
ABYW00000000_1_ms_medium_gapseq_open_TF_cpd01132_ABYW00000000_1_ms_medium_gapseq_open_e0,ABYW00000000_1_ms_medium_gapseq_open_TF_cpd01132_ABYW00000000_1_ms_medium_gapseq_open_e0,0.0,0.0
ABYW00000000_1_ms_medium_gapseq_open_TF_cpd00065_ABYW00000000_1_ms_medium_gapseq_open_e0,ABYW00000000_1_ms_medium_gapseq_open_TF_cpd00065_ABYW00000000_1_ms_medium_gapseq_open_e0,0.0,-3.429682849638497e-13
ABYW00000000_1_ms_medium_gapseq_open_TF_cpd00132_ABYW00000000_1_ms_medium_gapseq_open_e0,ABYW00000000_1_ms_medium_gapseq_open_TF_cpd00132_ABYW00000000_1_ms_medium_gapseq_open_e0,-0.0836387194395661,-0.08363871943753798
ABYW00000000_1_ms_medium_gapseq_open_TF_cpd01015_ABYW00000000_1_ms_medium_gapseq_open_e0,ABYW00000000_1_ms_medium_gapseq_open_TF_cpd01015_ABYW00000000_1_ms_medium_gapseq_open_e0,0.0,0.0
